lnum	language	ISO639.3	family	country	latitude	longitude
91	Tacana	tna	Tacanan	Bolivia	-13.39249	-68.04056
92	Tarahumara (Central)	tar	Uto-Aztecan	Mexico	27.5648	-107.154
93	Tarahumara (Western)	tac	Uto-Aztecan	Mexico	27.4623	-107.854
94	Tboli	tbl	Austronesian	Philippines	6.20377	124.538
95	Teribe	tfr	Chibchan	Panama	9.067	-82.9631
96	Ticuna	tca	Ticuna	Peru	-3.66289	-69.8723
97	Tifal	tif	Trans-New Guinea	Papua New Guinea	-5.03899	141.293
98	Tlapanec	tll	Subtiaba-Tlapanec	Mexico	17.2122	-98.6322
99	Tucano	tuo	Tucanoan	Colombia	0.579755	-69.5763
100	Vagla	vag	Gur	Ghana	9.33848	-2.31333
101	Vasavi	vas	Indic	India	21.3624	73.8652
102	Waorani (Auca, Huao)	auc	Waorani	Ecuador	-1.12312	-76.683
103	Walpiri	wbp	Pama-Nyungan	Australia	-20.1008	131.05
104	Wobé	wob	Niger-Congo	Ivory Coast	7.40391	-7.24617
105	Yacouba	daf	Dan	Ivory Coast	7.22812	-8.24535
106	Yakan	yka	Austronesian	Philippines	6.531023	122.021729
107	Yaminahua	yaa	Panoan	Peru	-9.8846	-71.5964
108	Yucuna	ycn	Arawakan	Colombia	-0.76075	-71.0033
109	Yupik	ess	Eskimo-Aleut	USA	63.4308	-170.272
110	Zapotec	zpz	Oto-Manguean	Mexico	16.49197	-97.08947
111	Arabic	arb	Afro-Asiatic	Africa Eurasia	NA	NA
112	Bahasa Indonesia	ind	Austronesian	Indonesia	-7.33458	109.716
113	Bulgarian	bul	Indo-European	Bulgaria	43.3646	25.047
114	Cantonese	yue	Sino-Tibetan	Eurasia	NA	NA
115	Catalan	cat	Indo-European	Spain	41.453	1.569
116	English (American)	eng	Indo-European	North America	NA	NA
117	Hebrew	heb	Afro-Asiatic	Eurasia	31.1056	35.0179
118	Hungarian	hun	Uralic	Hungary	46.9068585714	19.6555271429
119	Ibibio	ibb	Atlantic-Congo	Nigeria	5.15279	7.86688
120	Japanese	jpn	Japonic	Japan	35	135
121	Korean	kor	Koreanic	Korea	37.5	128
122	Mandarin	cmn	Sino-Tibetan	China	40.0209	116.228
123	Spanish (Mexican)	spa	Indo-European	Mexico	NA	NA
124	Pomo	pmm	Atlantic-Congo	Congo	1.83	16.17
125	Swahili	swh	Atlantic-Congo	Tanzania	-8.25605	37.624
126	Tagalog	tgl	Austronesian	Philippines	14.06	121.747
127	Thai	tha	Tai-Kadai	Thailand	14.192	100.671
128	Tzeltal	tzh	Mayan	Mexico	16.6384	-92.2786
129	Urdu	urd	Indo-European	India	25	67
130	Vietnamese	vie	Austroasiatic	Vietnam	20.681188	105.774071
